longitude,latitude
-73.98770463445516,42.0221068
-73.98785324438234,42.022945373706136
-73.98828894664297,42.0237268
-73.988982048848,42.02439782597104
-73.98988531722758,42.024912722308265
-73.99093719553433,42.025236399677176
-73.992066,42.0253468
-73.99319480446566,42.025236399677176
-73.99424668277241,42.024912722308265
-73.99514995115199,42.02439782597104
-73.99584305335702,42.0237268
-73.99627875561765,42.022945373706136
-73.99642736554483,42.0221068
-73.99627875561765,42.02126822629387
-73.99584305335702,42.0204868
-73.99514995115199,42.01981577402896
-73.99424668277241,42.01930087769174
-73.99319480446566,42.01897720032283
-73.992066,42.018866800000005
-73.99093719553433,42.01897720032283
-73.98988531722758,42.01930087769174
-73.988982048848,42.01981577402896
-73.98828894664297,42.0204868
-73.98785324438234,42.02126822629387
-73.98814077100964,42.0221068
-73.98827451994411,42.022861516335524
-73.98866665197868,42.0235648
-73.9892904439632,42.02416872337394
-73.99010338550481,42.024632130077435
-73.9910500759809,42.02492343970946
-73.992066,42.0250228
-73.9930819240191,42.02492343970946
-73.99402861449518,42.024632130077435
-73.99484155603679,42.02416872337394
-73.99546534802131,42.0235648
-73.99585748005588,42.022861516335524
-73.99599122899035,42.0221068
-73.99585748005588,42.02135208366448
-73.99546534802131,42.020648800000004
-73.99484155603679,42.020044876626066
-73.99402861449518,42.01958146992257
-73.9930819240191,42.019290160290545
-73.992066,42.019190800000004
-73.9910500759809,42.019290160290545
-73.99010338550481,42.01958146992257
-73.9892904439632,42.020044876626066
-73.98866665197868,42.020648800000004
-73.98827451994411,42.02135208366448
